c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.81,3.96,3.59,0.0013778,0.00102493,30,31,27,234369648,0.000488281,4.18354e-09,166.569
5.19,3.27,3.45,0.0013778,0.00106167,32,30,27,233052840,0.000488281,4.25156e-09,166.499
1.92,3.19,2.62,0.0013778,0.000751648,31,31,27,234637988,0.000488281,4.19056e-09,166.562
2.42,0.51,4.11,0.0013778,0.0012709,31,27,27,227224036,0.000610352,1.04483e-08,162.594
1.52,1.9,0.6,0.0013778,0.00131104,30,30,24,188549984,0.00174285,2.63501e-07,148.576
4.58,2.31,2.06,0.0013778,0.00118179,31,30,26,218129108,0.000976562,1.65825e-08,160.588
2.7,2.41,4.26,0.0013778,0.00120773,31,30,27,232784500,0.000488281,4.26225e-09,166.488
2.6,2.58,0.74,0.0013778,0.000899963,31,30,25,203473716,0.000923336,6.60377e-08,154.586
2.36,5.54,0.76,0.0013778,0.00092926,31,31,25,205327204,0.000905216,6.59675e-08,154.591
3.76,1.36,3.21,0.0013778,0.000978394,31,29,27,230931012,0.000488281,4.55994e-09,166.195
5.4,2.71,1.7,0.0013778,0.00101608,32,30,26,218397448,0.000976562,1.65743e-08,160.59
2.21,2.52,4.76,0.0013778,0.00134964,30,30,27,232516160,0.000488281,4.25523e-09,166.495
4.17,3.38,2.62,0.0013778,0.000758705,32,31,27,234906328,0.000488281,4.17988e-09,166.573
3.71,5.52,1.4,0.0013778,0.000866203,32,31,26,220250936,0.000976562,1.65012e-08,160.609
3.05,0.54,3.28,0.0013778,0.000955887,31,28,27,229077524,0.000976562,5.72881e-09,165.204
2.4,1.83,3.28,0.0013778,0.000930786,31,30,27,232784500,0.000488281,4.26225e-09,166.488
3.05,0.76,2.9,0.0013778,0.000824051,31,29,27,230931012,0.000488281,4.55994e-09,166.195
2.22,5.3,4.49,0.0013778,0.00129181,30,31,27,234369648,0.000488281,4.18354e-09,166.569
2.6,4.96,5.16,0.0013778,0.000801086,31,31,28,249293380,0.000488281,1.08894e-09,172.414
4.15,4.1,2.84,0.0013778,0.000834312,32,31,27,234906328,0.000488281,4.17988e-09,166.573
2.12,2.38,0.2,0.0013778,0.000942688,31,30,23,174162932,0.00338525,1.05414e-06,142.555
4.76,0.99,1,0.0013778,0.00123642,32,28,25,200035080,0.000976562,6.7488e-08,154.492
0.66,0.61,3.72,0.0013778,0.00107727,29,28,27,228540844,0.000976562,5.79342e-09,165.155
1.5,0.03,1.72,0.0013778,0.000979919,30,24,26,206739840,0.00345159,4.17892e-07,146.574
2.35,0.66,3.75,0.0013778,0.00109459,31,28,27,229077524,0.000976562,5.72881e-09,165.204
1.74,2.16,2.27,0.0013778,0.00126678,30,30,26,217860768,0.000976562,1.65805e-08,160.588
4.82,2.62,3.09,0.0013778,0.000932693,32,30,27,233052840,0.000488281,4.25156e-09,166.499
1.54,1.12,3.2,0.0013778,0.000941467,30,29,27,230662672,0.000488281,4.55292e-09,166.201
2.89,0.3,4.26,0.0013778,0.00120857,31,27,27,227224036,0.000610352,1.04483e-08,162.594
4.57,2.39,4.21,0.0013778,0.00120857,31,30,27,232784500,0.000488281,4.26225e-09,166.488
0.81,2.72,4.54,0.0013778,0.00129913,29,30,27,232247820,0.000488281,4.32687e-09,166.423
1.66,2.44,1.01,0.0013778,0.00116058,30,30,25,203205376,0.000925243,6.60255e-08,154.587
5.22,2.46,4.02,0.0013778,0.0011515,32,30,27,233052840,0.000488281,4.25156e-09,166.499
1.06,2.22,1.48,0.0013778,0.000874329,30,30,26,217860768,0.000976562,1.65805e-08,160.588
0.18,2.75,0.48,0.0013778,0.00112732,27,30,24,187744964,0.00176955,2.64313e-07,148.563
1.26,0.02,1.31,0.0013778,0.000815124,30,23,26,204886352,0.00668342,1.62213e-06,140.683
1.7,0.08,0.79,0.0013778,0.000953674,30,25,25,193937936,0.00196278,1.66298e-07,150.575
5.18,4.98,3.05,0.0013778,0.000916367,32,31,27,234906328,0.000488281,4.17988e-09,166.573
0.99,2.9,2.65,0.0013778,0.00075058,30,31,27,234369648,0.000488281,4.18354e-09,166.569
2.63,2.57,3.2,0.0013778,0.000958176,31,30,27,232784500,0.000488281,4.26225e-09,166.488
1.5,3.81,2.55,0.0013778,0.00137283,31,31,26,219982596,0.000976562,1.65093e-08,160.607
0.89,2.98,2.87,0.0013778,0.000805206,30,31,27,234369648,0.000488281,4.18354e-09,166.569
0.62,2.05,1.77,0.0013778,0.0010083,29,30,26,217592428,0.000976562,1.6642e-08,160.572
5.27,2.71,4.37,0.0013778,0.0012524,32,30,27,233052840,0.000488281,4.25156e-09,166.499
5.21,4.88,2.13,0.0013778,0.00120884,32,31,26,220250936,0.000976562,1.65012e-08,160.609
2.52,3.64,5.3,0.0013778,0.000777283,31,31,28,249293380,0.000488281,1.08894e-09,172.414
0.43,2.59,2.36,0.0013778,0.00133667,28,30,26,217324088,0.000976562,1.67487e-08,160.545
1.59,3.76,0.84,0.0013778,0.00095932,30,31,25,205058864,0.000907123,6.59554e-08,154.592
3.41,3,0.7,0.0013778,0.000788155,32,31,25,205595544,0.000908077,6.59543e-08,154.592
1.27,4.94,4.58,0.0013778,0.00130768,29,31,27,234101308,0.000488281,4.25518e-09,166.495
2.52,4.22,4.26,0.0013778,0.00131683,31,30,27,232784500,0.000488281,4.26225e-09,166.488
3,0.36,2.36,0.0013778,0.00135101,31,27,26,212568644,0.000976562,2.27597e-08,159.213
2.86,5.03,5.19,0.0013778,0.000808868,31,31,28,249293380,0.000488281,1.08894e-09,172.414
2.4,0.24,1.32,0.0013778,0.000780029,31,27,26,212568644,0.000976562,2.27597e-08,159.213
