c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.89,2.98,2.87,0.000358,0.000201302,27,27,24,51309600,6.10352e-05,2.59256e-10,126.941
4.58,2.31,2.06,0.000358,0.000295448,28,26,23,48287792,0.000102997,1.0335e-09,120.935
2.36,5.54,0.76,0.000358,0.000232315,28,27,22,45914456,0.000205994,4.10756e-09,114.942
4.15,4.1,2.84,0.000358,0.000208578,29,27,24,51412800,6.10352e-05,2.587e-10,126.95
5.19,3.27,3.45,0.000358,0.000265417,29,26,24,51062764,6.10352e-05,2.63357e-10,126.873
3.05,0.76,2.9,0.000358,0.000206013,28,25,24,50661128,6.19888e-05,2.81805e-10,126.579
3.05,0.54,3.28,0.000358,0.000238972,28,24,24,50311092,7.9155e-05,3.55416e-10,125.571
1.59,3.76,0.84,0.000358,0.00023983,27,27,22,45862856,0.000206947,4.10717e-09,114.943
4.76,0.99,1,0.000358,0.000313644,28,24,22,44864348,0.000218868,4.20454e-09,114.841
2.42,0.51,4.11,0.000358,0.000322342,27,23,24,49909456,0.00012207,6.48117e-10,122.961
2.52,3.64,5.3,0.000358,0.000356064,28,27,24,51361200,6.10352e-05,2.58992e-10,126.945
0.62,2.05,1.77,0.000358,0.000252075,26,26,23,48184592,0.000104904,1.03605e-09,120.924
1.26,0.02,1.31,0.000358,0.000203781,27,19,23,45785940,0.00157928,1.01034e-07,101.033
2.12,2.38,0.2,0.000358,0.000235672,28,26,20,40117676,0.00086832,6.57153e-08,102.901
2.6,2.58,0.74,0.000358,0.000224991,28,26,22,45564420,0.000208855,4.11244e-09,114.937
5.4,2.71,1.7,0.000358,0.000254021,29,26,23,48339392,0.000102997,1.03345e-09,120.935
2.6,4.96,5.16,0.000358,0.000357742,28,27,24,51361200,6.10352e-05,2.58992e-10,126.945
0.99,2.9,2.65,0.000358,0.000349388,27,27,23,48586228,0.000101566,1.03e-09,120.95
0.66,0.61,3.72,0.000358,0.000269318,26,24,24,50207892,7.9155e-05,3.58812e-10,125.529
0.18,2.75,0.48,0.000358,0.00028183,24,26,21,42634648,0.000434399,1.64676e-08,108.912
1.54,1.12,3.2,0.000358,0.000235367,27,25,24,50609528,6.24657e-05,2.8208e-10,126.574
2.21,2.52,4.76,0.000358,0.00033741,27,26,24,50959564,6.10352e-05,2.63914e-10,126.863
0.43,2.59,2.36,0.000358,0.000334167,25,26,23,48132992,0.000106335,1.04717e-09,120.878
4.57,2.39,4.21,0.000358,0.000302143,28,26,24,51011164,5.91278e-05,2.63644e-10,126.868
1.92,3.19,2.62,0.000358,0.000347824,28,27,23,48637828,0.000100613,1.02907e-09,120.954
1.5,0.03,1.72,0.000358,0.00024498,27,20,23,46135976,0.000804901,2.60278e-08,106.924
4.17,3.38,2.62,0.000358,0.000349588,29,27,23,48689428,0.000100613,1.02903e-09,120.954
1.81,3.96,3.59,0.000358,0.000256233,27,27,24,51309600,6.10352e-05,2.59256e-10,126.941
1.27,4.94,4.58,0.000358,0.00032692,26,27,24,51258000,6.10352e-05,2.62376e-10,126.889
5.22,2.46,4.02,0.000358,0.000287876,29,26,24,51062764,6.10352e-05,2.63357e-10,126.873
4.82,2.62,3.09,0.000358,0.000233173,29,26,24,51062764,6.10352e-05,2.63357e-10,126.873
2.7,2.41,4.26,0.000358,0.000301933,28,26,24,51011164,5.91278e-05,2.63644e-10,126.868
1.06,2.22,1.48,0.000358,0.000218582,27,26,23,48236192,0.000104427,1.03442e-09,120.931
1.7,0.08,0.79,0.000358,0.000238419,27,21,22,43762640,0.000461102,1.03517e-08,110.928
3.76,1.36,3.21,0.000358,0.000244598,28,25,24,50661128,6.19888e-05,2.81805e-10,126.579
1.5,3.81,2.55,0.000358,0.000346069,27,27,23,48586228,0.000101566,1.03e-09,120.95
5.18,4.98,3.05,0.000358,0.000229092,29,27,24,51412800,6.10352e-05,2.587e-10,126.95
2.89,0.3,4.26,0.000358,0.000302143,28,23,24,49961056,0.000121117,6.47858e-10,122.963
2.35,0.66,3.75,0.000358,0.000273647,28,24,24,50311092,7.9155e-05,3.55416e-10,125.571
5.21,4.88,2.13,0.000358,0.00030221,29,27,23,48689428,0.000100613,1.02903e-09,120.954
3.41,3,0.7,0.000358,0.000197039,29,27,22,45966056,0.000205994,4.10702e-09,114.943
1.52,1.9,0.6,0.000358,0.00035675,27,25,21,42439412,0.000416756,1.64484e-08,108.917
1.74,2.16,2.27,0.000358,0.000349655,27,25,23,47886156,0.000112057,1.05303e-09,120.854
2.63,2.57,3.2,0.000358,0.000239544,28,26,24,51011164,5.91278e-05,2.63644e-10,126.868
1.66,2.44,1.01,0.000358,0.000290146,27,26,22,45512820,0.000208855,4.11206e-09,114.937
5.27,2.71,4.37,0.000358,0.000318127,28,26,24,51011164,5.91278e-05,2.63644e-10,126.868
2.4,1.83,3.28,0.000358,0.000232697,28,26,24,51011164,5.91278e-05,2.63644e-10,126.868
3.71,5.52,1.4,0.000358,0.000216551,29,27,23,48689428,0.000100613,1.02903e-09,120.954
0.81,2.72,4.54,0.000358,0.000324783,26,26,24,50907964,6.10352e-05,2.67031e-10,126.812
2.22,5.3,4.49,0.000358,0.000322952,27,27,24,51309600,6.10352e-05,2.59256e-10,126.941
2.68,1.49,0.83,0.000358,0.00025322,28,25,22,45214384,0.00020504,4.13016e-09,114.918
2.8,3.5,2.57,0.000358,0.000345764,28,27,23,48637828,0.000100613,1.02907e-09,120.954
0.51,2.27,2.84,0.000358,0.000211868,26,26,24,50907964,6.10352e-05,2.67031e-10,126.812
1.19,5,2.53,0.000358,0.000356064,26,27,23,48534628,0.000103951,1.03162e-09,120.943
3.19,3.27,0.14,0.000358,0.000329418,28,26,19,37394304,0.00157452,2.62383e-07,96.8886
