c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.35,0.51,1.97,9953.48,9715.2,11,6,4,2793498,4083.08,431378,43.6109
2.64,1.48,2.83,9953.48,9502.72,11,6,5,4988426,2681.37,199686,46.956
3.07,1.24,0.59,9953.48,8944.64,10,6,3,1550741,6983.19,638700,41.9065
3.57,5.08,0.44,9953.48,9720.32,11,7,3,2437408,6675.42,572191,42.3841
5.5,2.01,0.41,9953.48,8883.2,11,6,3,1743465,7063.19,625139,41.9997
2.04,3.56,0.2,9953.48,9803.2,13,10,0,6248435,11011.5,500958,42.9615
1.39,0.63,1.9,9953.48,9784.32,10,6,4,2600774,4241.48,445719,43.4689
0.25,3.54,3.87,9953.48,6031.36,9,8,6,9997368,1557.79,118954,49.2057
4.27,1.58,3.2,9953.48,8718.08,12,7,5,5909674,2122.96,142981,48.4067
2.77,4.38,0.73,9953.48,8184.32,11,7,4,3487441,3833.29,376796,44.1984
3.99,4.82,1.97,9953.48,7013.12,12,8,5,6887358,1821.51,127725,48.8967
3.3,0.14,4.03,9953.48,9671.68,11,5,5,4538107,3885.42,341024,44.6316
2.16,3.29,2.82,9953.48,9697.28,11,7,5,5682369,2211.11,146413,48.3037
0.16,2.06,0.6,9953.48,9789.44,7,6,3,1199611,8683.19,1.96569e+06,37.0243
1.8,1.5,2.63,9953.48,9379.84,10,6,5,4795702,2937.37,213151,46.6726
2.45,3.05,0.27,9953.48,9712.64,10,6,3,1550741,6983.19,638700,41.9065
3.89,5.25,1.1,9953.48,8189.44,11,8,4,4465125,3651.17,362047,44.3718
4.12,2.43,2.61,9953.48,8888.32,11,7,5,5682369,2211.11,146413,48.3037
0.86,0.69,0.39,9953.48,7782.4,8,5,3,833375,7987.91,1.07928e+06,39.6282
1.33,2.37,2.76,9953.48,8760.32,10,7,5,5489645,2302.27,158998,47.9456
0.86,2.97,2.14,9953.48,7864.32,10,7,5,5489645,2302.27,158998,47.9456
4.19,4.27,4.65,9953.48,7484.16,12,8,6,10570641,1053.8,47006.6,53.2379
4.05,4.74,1.49,9953.48,9566.72,11,8,4,4465125,3651.17,362047,44.3718
0.33,3.59,4.79,9953.48,7080.96,9,8,6,9997368,1557.79,118954,49.2057
2.56,3.33,1.85,9953.48,9937.92,11,8,4,4465125,3651.17,362047,44.3718
0.42,4.35,3.33,9953.48,9477.12,9,8,5,6314085,2251.79,200824,46.9313
4.82,0.57,3.42,9953.48,8788.48,12,6,5,5215731,2809.37,196691,47.0216
5.2,3.85,0.77,9953.48,8427.52,11,7,4,3487441,3833.29,376796,44.1984
1.09,4.37,3.75,9953.48,6356.48,11,8,6,10343336,1147.5,49805.8,52.9867
2.08,5.45,2.2,9953.48,7828.48,11,8,5,6660053,1852.82,130898,48.7902
2.79,2.53,2.54,9953.48,8506.88,11,7,5,5682369,2211.11,146413,48.3037
2.05,5.42,3.85,9953.48,9534.72,12,9,5,8111319,1794.09,123516,49.0423
2.35,2.54,0.74,9953.48,9866.24,10,7,3,2244684,6598.81,584872,42.2889
4.21,0.15,4.46,9953.48,5720.32,12,5,6,8448695,3677.69,254904,45.8957
0.01,3.16,1.14,9953.48,8069.12,5,7,4,2859434,13924.1,2.59927e+07,25.811
1.22,3.9,2.49,9953.48,9717.76,10,7,5,5489645,2302.27,158998,47.9456
5.49,4.95,0.53,9953.48,7578.88,12,8,3,3642397,6392.52,553699,42.5268
1.81,3.96,3.59,9953.48,9843.2,11,8,5,6660053,1852.82,130898,48.7902
5.16,4.9,3.1,9953.48,9518.08,12,8,5,6887358,1821.51,127725,48.8967
1.12,3.97,0.77,9953.48,7792.64,10,7,4,3294717,3823.95,390258,44.046
1.64,0.86,1.56,9953.48,8990.72,10,6,4,2600774,4241.48,445719,43.4689
2.08,2.38,0.75,9953.48,9646.08,10,7,3,2244684,6598.81,584872,42.2889
4.88,4.36,4.42,9953.48,7070.72,13,8,6,10823508,1058.52,46178.6,53.3151
1.61,3.83,0.71,9953.48,7654.4,10,7,4,3294717,3823.95,390258,44.046
0.33,2.85,0.83,9953.48,6993.92,8,7,4,3027670,4577.04,695389,41.5372
3.95,2.46,2.45,9953.48,8547.84,11,7,5,5682369,2211.11,146413,48.3037
1.23,5.34,4.93,9953.48,8097.28,11,8,6,10343336,1147.5,49805.8,52.9867
1.78,1.34,4.75,9953.48,6691.84,11,7,6,9365652,1482.87,64758.7,51.8465
1.27,5.38,4.66,9953.48,7851.52,11,8,6,10343336,1147.5,49805.8,52.9867
4.8,2.68,2.38,9953.48,8232.96,12,7,5,5909674,2122.96,142981,48.4067
0.37,5.05,0.24,9953.48,9861.12,8,7,2,1672241,13071.2,851063,40.6599
5.05,1.31,0.67,9953.48,9464.32,11,6,3,1743465,7063.19,625139,41.9997
4.8,4.8,0.16,9953.48,8909.57,13,9,0,4808000,10983,502124,42.9514
3.69,1.68,0.13,9953.48,8655.98,11,7,0,2126183,11009.9,525187,42.7564
1.59,0.14,2.08,9953.48,9907.2,10,5,4,2150455,5743.08,580391,42.3223
4.69,4.5,2.05,9953.48,7102.72,12,8,5,6887358,1821.51,127725,48.8967
0.81,3,0.6,9953.48,8816.64,9,7,3,2091440,6896.87,642576,41.8802
4.22,3.91,4.29,9953.48,6935.04,12,8,6,10570641,1053.8,47006.6,53.2379
4.22,5.31,1.99,9953.48,7334.4,12,8,5,6887358,1821.51,127725,48.8967
1.97,3.12,0.41,9953.48,7562.24,10,7,3,2244684,6598.81,584872,42.2889
2.3,3.38,2.09,9953.48,8330.24,11,7,5,5682369,2211.11,146413,48.3037
4.26,1.93,5.22,9953.48,7866.88,12,7,6,9592957,1482.87,61700.2,52.0566
1.1,3.34,4.77,9953.48,6876.16,11,8,6,10343336,1147.5,49805.8,52.9867
4.38,5.42,0.58,9953.48,8647.68,11,8,3,3415092,6464.52,556823,42.5023
3.79,4.03,2.92,9953.48,8528.64,12,8,5,6887358,1821.51,127725,48.8967
3,1.62,3.91,9953.48,6046.72,12,7,6,9592957,1482.87,61700.2,52.0566
0.19,3.66,0.32,9953.48,7147.52,7,7,3,1893554,8474.38,1.91718e+06,37.1329
2.49,5.44,3.51,9953.48,8899.84,12,9,5,8111319,1794.09,123516,49.0423
0.36,2.2,0.89,9953.48,8888.32,8,6,4,2333727,5066.2,752595,41.1939
1.16,5.12,4.54,9953.48,7567.36,11,8,6,10343336,1147.5,49805.8,52.9867
1.2,0.8,1.09,9953.48,8970.24,9,5,4,1997211,6255.08,637519,41.9146
1.6,1.14,4.62,9953.48,6307.84,11,7,6,9365652,1482.87,64758.7,51.8465
3.68,4.03,1.6,9953.48,9559.04,11,8,4,4465125,3651.17,362047,44.3718
5.18,3.72,1.85,9953.48,6356.48,12,8,5,6887358,1821.51,127725,48.8967
1.41,3.92,4.61,9953.48,7088.64,11,8,6,10343336,1147.5,49805.8,52.9867
4.76,3.02,2.4,9953.48,8616.96,12,7,5,5909674,2122.96,142981,48.4067
3.66,2.16,5.23,9953.48,8035.84,12,7,6,9592957,1482.87,61700.2,52.0566
3.21,4.34,1.18,9953.48,7877.12,11,8,4,4465125,3651.17,362047,44.3718
1.57,5,4.04,9953.48,7098.88,11,8,6,10343336,1147.5,49805.8,52.9867
2.74,1.08,2.51,9953.48,8053.76,11,6,5,4988426,2681.37,199686,46.956
3.53,1.41,3.17,9953.48,8839.68,11,7,5,5682369,2211.11,146413,48.3037
3.76,5.4,4.98,9953.48,8345.6,12,8,6,10570641,1053.8,47006.6,53.2379
4.23,0.53,1.56,9953.48,9643.52,11,5,4,2343179,5743.08,567420,42.4205
4.56,2.38,5.02,9953.48,8161.28,12,7,6,9592957,1482.87,61700.2,52.0566
3.32,4.47,4.78,9953.48,7608.32,12,8,6,10570641,1053.8,47006.6,53.2379
0.12,0.2,1.18,9953.48,6963.2,7,4,4,1568458,9128.14,2.15724e+06,36.6205
3.62,2.73,5.19,9953.48,8573.44,12,7,6,9592957,1482.87,61700.2,52.0566
1.37,0.58,2.44,9953.48,6886.4,10,6,5,4795702,2937.37,213151,46.6726
4.16,5.54,0.95,9953.48,7792.64,11,8,4,4465125,3651.17,362047,44.3718
0.14,2.06,4.42,9953.48,6778.88,9,7,6,9019684,1985.42,134450,48.6739
4.7,0.1,3.69,9953.48,9579.52,11,4,5,4307240,7216.43,594816,42.2157
1.95,2.29,4.08,9953.48,5849.6,11,8,6,10343336,1147.5,49805.8,52.9867
2.76,4.97,0.42,9953.48,9943.04,10,7,3,2244684,6598.81,584872,42.2889
2.16,3.76,3.74,9953.48,9861.12,12,8,5,6887358,1821.51,127725,48.8967
0.51,5.39,2.77,9953.48,8954.88,9,8,5,6314085,2251.79,200824,46.9313
2.06,5.01,1.63,9953.48,9768.96,11,8,4,4465125,3651.17,362047,44.3718
3.64,4.18,2.38,9953.48,7946.24,11,8,5,6660053,1852.82,130898,48.7902
1.45,0.16,3.37,9953.48,8954.88,10,4,5,4114516,7408.43,608156,42.1193
5.08,0.81,3.61,9953.48,9702.4,12,6,5,5215731,2809.37,196691,47.0216
2.27,2.17,3.98,9953.48,9552.64,12,8,5,6887358,1821.51,127725,48.8967
5.18,1.36,0.51,9953.48,8289.28,11,6,3,1743465,7063.19,625139,41.9997
4.82,2.88,4.36,9953.48,6247.68,13,8,6,10823508,1058.52,46178.6,53.3151
0.73,3.87,3.53,9953.48,9584.64,10,8,5,6467329,1981.51,144013,48.3755
2.44,4.63,1.49,9953.48,9098.24,11,8,4,4465125,3651.17,362047,44.3718
4.21,1.05,1.51,9953.48,9413.12,11,6,4,2793498,4083.08,431378,43.6109
1.42,3.34,0.65,9953.48,9472,10,7,3,2244684,6598.81,584872,42.2889
2.96,0.14,4.77,9953.48,5836.8,12,5,6,8448695,3677.69,254904,45.8957
2.69,4.74,0.44,9953.48,9835.52,10,7,3,2244684,6598.81,584872,42.2889
2.42,1.06,0.33,9953.48,9523.2,9,5,3,947178,8012.71,835379,40.7407
2.22,0.33,2.22,9953.48,6466.56,11,5,5,4538107,3885.42,341024,44.6316
2.6,0.16,4.44,9953.48,5534.72,12,5,6,8448695,3677.69,254904,45.8957
4.79,2.04,2,9953.48,6798.08,12,7,5,5909674,2122.96,142981,48.4067
2.63,1.55,3.25,9953.48,8916.48,11,7,5,5682369,2211.11,146413,48.3037
3.82,4.89,3.5,9953.48,8908.8,12,9,5,8111319,1794.09,123516,49.0423
3.53,5.39,2.14,9953.48,8046.08,11,8,5,6660053,1852.82,130898,48.7902
0.98,3.94,1.91,9953.48,6430.72,10,8,5,6467329,1981.51,144013,48.3755
1.75,5.41,2.11,9953.48,7539.2,11,8,5,6660053,1852.82,130898,48.7902
3.3,5.08,2.94,9953.48,9466.88,11,8,5,6660053,1852.82,130898,48.7902
0.25,2.85,2.18,9953.48,7639.04,9,7,5,5336401,2417.32,216883,46.5972
5.01,1.22,2.26,9953.48,7768.32,12,6,5,5215731,2809.37,196691,47.0216
4.04,4.05,3.17,9953.48,9082.88,12,8,5,6887358,1821.51,127725,48.8967
4.67,3.47,3.87,9953.48,6038.4,13,8,6,10823508,1058.52,46178.6,53.3151
0.52,1.46,0.66,9953.48,9461.76,8,6,3,1283694,7334.75,944019,40.2097
5.48,0.59,1.17,9953.48,8611.84,11,5,4,2343179,5743.08,567420,42.4205
3.15,2.77,4.03,9953.48,5948.16,12,8,6,10570641,1053.8,47006.6,53.2379
0.35,4.11,4.21,9953.48,6773.76,9,8,6,9997368,1557.79,118954,49.2057
0.64,5.05,3.79,9953.48,9382.4,10,9,5,7691290,1893.27,139657,48.5089
2.66,4.09,0.45,9953.48,9236.48,10,7,3,2244684,6598.81,584872,42.2889
2.22,0.3,4.78,9953.48,6077.44,11,6,6,8671709,1995.71,119004,49.2039
0.58,4.16,4.92,9953.48,7464.96,10,8,6,10150612,1204.28,63662.3,51.9207
3.66,4.92,2.49,9953.48,8555.52,11,8,5,6660053,1852.82,130898,48.7902
