c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.04,3.56,0.2,0.995347,0.943125,25,22,14,126660853,3.52344,1.06187,99.6988
5.5,2.01,0.41,0.995347,0.967109,27,21,15,140242081,1.83594,0.268773,105.666
5.49,4.95,0.53,0.995347,0.618066,28,23,16,159845145,0.958984,0.0678942,111.641
3.89,5.25,1.1,0.995347,0.647227,27,23,17,174933185,0.445312,0.0171083,117.627
2.35,0.51,1.97,0.995347,0.574609,26,20,18,184132057,0.266113,0.00473289,123.208
2.64,1.48,2.83,0.995347,0.820625,26,21,18,186095113,0.235352,0.00441199,123.513
5.2,3.85,0.77,0.995347,0.910625,27,22,16,157587633,0.953125,0.067923,111.639
4.19,4.27,4.65,0.995347,0.731055,27,22,19,203735121,0.125,0.00111149,129.5
3.07,1.24,0.59,0.995347,0.679492,27,21,16,155624577,0.933594,0.0679796,111.636
1.33,2.37,2.76,0.995347,0.858906,25,21,18,185800657,0.235352,0.00442136,123.504
1.64,0.86,1.56,0.995347,0.913125,25,20,17,168455105,0.492188,0.0175171,117.525
2.56,3.33,1.85,0.995347,0.576563,27,22,18,188352625,0.234375,0.0043358,123.589
2.08,2.38,0.75,0.995347,0.915,26,21,16,155330121,0.931641,0.0679865,111.635
3.95,2.46,2.45,0.995347,0.78168,27,21,18,186389569,0.238281,0.00440884,123.516
2.05,5.42,3.85,0.995347,0.581953,26,23,19,205403721,0.113281,0.00109509,129.565
0.01,3.16,1.14,0.995347,0.68875,18,22,17,170320025,1.66406,0.236277,106.225
0.33,2.85,0.83,0.995347,0.939687,23,22,16,156409809,0.962891,0.0681039,111.628
1.78,1.34,4.75,0.995347,0.691406,26,21,19,201477609,0.136719,0.00119381,129.19
1.61,3.83,0.71,0.995347,0.854844,25,22,16,156998721,0.955078,0.0679282,111.639
2.08,5.45,2.2,0.995347,0.651406,26,23,18,190021225,0.234375,0.00431726,123.607
2.16,3.29,2.82,0.995347,0.824687,26,22,18,188058169,0.234375,0.00433936,123.585
2.77,4.38,0.73,0.995347,0.888516,26,22,16,157293177,0.951172,0.0679304,111.639
2.79,2.53,2.54,0.995347,0.814922,26,21,18,186095113,0.235352,0.00441199,123.513
4.05,4.74,1.49,0.995347,0.908945,27,22,17,172970129,0.453125,0.0171222,117.624
0.42,4.35,3.33,0.995347,0.994687,23,22,18,187174801,0.239258,0.00454569,123.383
