c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.08,2.38,0.75,0.0003012,0.000287476,10,9,6,2763582,0.000223047,2.40513e-10,45.7644
2.01,2.64,0.15,0.0003012,0.000295715,9,8,5,1513336,0.000448327,6.61769e-10,41.3687
3.24,0.36,1.49,0.0003012,0.000294495,11,6,7,2587487,0.000250292,3.02615e-10,44.7668
3.95,3.3,5.12,0.0003012,0.000272026,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
1.61,3.2,5.51,0.0003012,0.000278091,11,9,9,7445026,4.6088e-05,2.2533e-11,56.0476
1.95,2.95,2.14,0.0003012,0.000235519,11,9,8,5322040,6.96013e-05,4.17413e-11,53.3701
1,0.96,3.17,0.0003012,0.000282593,9,8,8,4464282,0.00010052,8.08507e-11,50.4989
0.69,0.83,2.09,0.0003012,0.000188751,10,8,8,4582158,8.52614e-05,6.80721e-11,51.2461
5.14,2.12,5.05,0.0003012,0.000238419,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
5.49,4.95,0.53,0.0003012,0.000225868,12,10,6,3814538,0.000232299,2.28546e-10,45.986
4.74,5.54,3.02,0.0003012,0.000286942,12,10,8,6232383,6.2388e-05,3.37933e-11,54.2874
0.58,4.46,4.85,0.0003012,0.000224915,10,10,9,8056512,3.76181e-05,1.9668e-11,56.6381
1.78,1.34,4.75,0.0003012,0.000240326,11,8,9,6845757,6.43986e-05,4.41477e-11,53.1267
1.23,5.34,4.93,0.0003012,0.000250702,10,10,9,8056512,3.76181e-05,1.9668e-11,56.6381
3.3,0.14,4.03,0.0003012,0.00029274,12,6,8,4178703,0.00019981,2.36708e-10,45.8336
0.33,2.85,0.83,0.0003012,0.000299683,9,9,6,2645706,0.00023073,2.53539e-10,45.5353
4.54,0.43,0.77,0.0003012,0.000275116,11,7,6,1877119,0.000269945,3.18389e-10,44.5462
0.16,2.06,0.6,0.0003012,0.000291748,7,8,6,1897240,0.000285178,3.88933e-10,43.677
3.47,4.7,0.67,0.0003012,0.000261765,11,10,6,3656294,0.000236114,2.29569e-10,45.9666
3.8,3.38,0.14,0.0003012,0.0002005,11,9,5,2371094,0.000440956,6.23503e-10,41.6274
0.57,0.74,0.1,0.0003012,0.000222778,8,7,4,725420,0.000830267,1.19027e-09,38.8193
1.27,5.38,4.66,0.0003012,0.000233994,11,10,9,8197125,3.23818e-05,1.55381e-11,57.6618
