c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.64,0.86,1.56,1.4881e-07,1.24723e-07,25,22,20,49682756,6.41464e-08,9.55752e-17,123.649
1,0.96,3.17,1.4881e-07,1.26809e-07,25,22,21,54902765,4.05567e-08,3.61417e-17,127.873
5.49,4.95,0.53,1.4881e-07,8.67341e-08,27,25,19,48924747,1.09425e-07,3.15692e-16,118.46
2.36,0.05,3.5,1.4881e-07,1.32546e-07,26,18,21,50551223,4.23218e-07,3.31213e-15,108.252
3.3,0.14,4.03,1.4881e-07,1.39866e-07,27,20,21,52968408,1.05766e-07,2.38791e-16,119.673
1.23,5.34,4.93,1.4881e-07,9.79379e-08,25,25,22,64064901,1.54936e-08,6.19826e-18,135.53
4.12,2.43,2.61,1.4881e-07,1.17831e-07,27,23,21,56521144,3.20126e-08,2.51889e-17,129.441
1,0.75,2.79,1.4881e-07,1.09226e-07,25,22,21,54902765,4.05567e-08,3.61417e-17,127.873
1.95,2.95,2.14,1.4881e-07,8.93883e-08,26,24,21,57562896,2.95022e-08,2.2491e-17,129.933
4.75,2.72,2.51,1.4881e-07,9.94932e-08,27,24,21,57765763,2.85709e-08,2.241e-17,129.948
5.5,2.01,0.41,1.4881e-07,1.32825e-07,27,23,18,41810574,2.37297e-07,1.1687e-15,112.776
3.24,0.36,1.49,1.4881e-07,1.16304e-07,26,21,20,48698051,8.47336e-08,1.36265e-16,122.109
4.74,5.54,3.02,1.4881e-07,1.35694e-07,27,24,21,57765763,2.85709e-08,2.241e-17,129.948
4.54,0.43,0.77,1.4881e-07,1.21649e-07,27,21,19,44010175,1.42492e-07,3.7166e-16,117.751
5.07,0.96,2.35,1.4881e-07,1.03367e-07,27,22,21,55306744,4.07863e-08,3.56842e-17,127.928
3.99,4.82,1.97,1.4881e-07,1.39093e-07,27,25,20,53815490,5.61844e-08,8.09917e-17,124.368
2.4,0.47,4.69,1.4881e-07,1.02371e-07,26,21,22,59351441,5.12117e-08,6.11827e-17,125.587
5.53,5.36,1.6,1.4881e-07,1.40453e-07,27,24,20,52545754,5.74281e-08,8.17358e-17,124.329
4.82,0.57,3.42,1.4881e-07,1.40388e-07,27,21,21,54120927,6.02622e-08,7.73563e-17,124.568
2.08,2.38,0.75,1.4881e-07,1.3262e-07,25,23,19,46006413,1.09289e-07,3.19751e-16,118.405
1.61,3.2,5.51,1.4881e-07,1.11945e-07,25,24,22,62795165,1.7266e-08,6.8901e-18,135.071
3.95,3.3,5.12,1.4881e-07,1.0456e-07,27,24,22,63199144,1.68004e-08,6.43922e-18,135.364
1.8,1.5,2.63,1.4881e-07,1.04085e-07,26,23,21,56318277,3.27452e-08,2.52482e-17,129.431
2.45,3.05,0.27,1.4881e-07,9.16608e-08,26,24,18,42852326,2.33481e-07,1.16663e-15,112.784
1.61,3.83,0.71,1.4881e-07,1.19172e-07,25,24,19,47251032,1.09595e-07,3.16806e-16,118.445
1.78,1.34,4.75,1.4881e-07,9.40636e-08,26,23,22,61751658,2.12129e-08,9.22148e-18,133.805
4.8,2.68,2.38,1.4881e-07,9.53674e-08,27,24,21,57765763,2.85709e-08,2.241e-17,129.948
1.18,0.44,5.12,1.4881e-07,1.06916e-07,25,21,22,59150329,5.16332e-08,6.16517e-17,125.553
0.57,0.74,0.1,1.4881e-07,1.47969e-07,23,21,16,30585461,9.47215e-07,1.5862e-14,101.449
3.22,1.65,3.5,1.4881e-07,1.34893e-07,26,23,21,56318277,3.27452e-08,2.52482e-17,129.431
3.47,4.7,0.67,1.4881e-07,1.21351e-07,26,24,19,47452144,1.11457e-07,3.16314e-16,118.452
2.01,2.64,0.15,1.4881e-07,1.18352e-07,25,23,17,37214906,4.82817e-07,4.50834e-15,106.913
5.18,3.48,4.91,1.4881e-07,1.03917e-07,27,24,22,63199144,1.68004e-08,6.43922e-18,135.364
3.07,1.24,0.59,1.4881e-07,1.13007e-07,26,22,19,44993125,1.15862e-07,3.29458e-16,118.275
4.88,4.36,4.42,1.4881e-07,8.66503e-08,27,25,22,64468880,1.47586e-08,5.73617e-18,135.867
2.35,0.51,1.97,1.4881e-07,1.36998e-07,26,22,20,49883868,6.41464e-08,9.53269e-17,123.661
5.14,2.12,5.05,1.4881e-07,1.11628e-07,27,23,22,61954525,2.19784e-08,9.13534e-18,133.846
0.58,4.46,4.85,1.4881e-07,1.09822e-07,24,24,22,62599030,1.68375e-08,8.39906e-18,134.211
4.4,4.55,5.02,1.4881e-07,1.12802e-07,27,24,22,63199144,1.68004e-08,6.43922e-18,135.364
4.27,1.58,3.2,1.4881e-07,1.22888e-07,27,23,21,56521144,3.20126e-08,2.51889e-17,129.441
0.33,2.85,0.83,1.4881e-07,1.46329e-07,23,23,19,45617551,1.07648e-07,3.27226e-16,118.304
3.21,4.09,4.06,1.4881e-07,1.39223e-07,27,25,21,59035499,2.96143e-08,2.17486e-17,130.078
3.8,3.38,0.14,1.4881e-07,9.54792e-08,27,24,17,38863504,4.83453e-07,4.50424e-15,106.917
4.21,0.15,4.46,1.4881e-07,8.82614e-08,27,20,22,58401789,1.10188e-07,2.23236e-16,119.965
1.27,5.38,4.66,1.4881e-07,9.42126e-08,25,25,22,64064901,1.54936e-08,6.19826e-18,135.53
0.69,0.83,2.09,1.4881e-07,8.95932e-08,25,22,21,54902765,4.05567e-08,3.61417e-17,127.873
1.33,2.37,2.76,1.4881e-07,1.22525e-07,25,23,21,56117165,3.24782e-08,2.56893e-17,129.355
2.56,3.33,1.85,1.4881e-07,1.39847e-07,26,24,20,52342887,5.64968e-08,8.18701e-17,124.322
0.16,2.06,0.6,1.4881e-07,1.0699e-07,22,23,19,45428292,1.22549e-07,3.48331e-16,118.033
1.81,3.96,3.59,1.4881e-07,1.43237e-07,25,24,21,57361784,2.85709e-08,2.28883e-17,129.857
4.16,5.54,0.95,1.4881e-07,1.37761e-07,27,25,19,48924747,1.09425e-07,3.15692e-16,118.46
4.38,5.42,0.58,1.4881e-07,9.34117e-08,27,25,19,48924747,1.09425e-07,3.15692e-16,118.46
4.77,4.86,1.72,1.4881e-07,1.43172e-07,27,24,20,52545754,5.74281e-08,8.17358e-17,124.329
0.56,0.07,1.47,1.4881e-07,1.2517e-07,24,18,20,44933967,4.21317e-07,3.37768e-15,108.167
0.2,5.54,3.89,1.4881e-07,1.4253e-07,22,25,21,58053399,4.32554e-08,5.15147e-17,126.334
3.73,2.87,2.14,1.4881e-07,8.8634e-08,27,24,21,57765763,2.85709e-08,2.241e-17,129.948
0.81,3,0.6,1.4881e-07,9.99123e-08,24,24,19,47054897,1.09954e-07,3.18019e-16,118.428
4.78,4.19,4.55,1.4881e-07,1.0347e-07,27,24,22,63199144,1.68004e-08,6.43922e-18,135.364
3.62,2.73,5.19,1.4881e-07,1.01049e-07,27,24,22,63199144,1.68004e-08,6.43922e-18,135.364
2.42,1.06,0.33,1.4881e-07,1.14776e-07,26,22,18,40393307,2.42519e-07,1.18038e-15,112.733
4.8,4.8,0.16,1.4881e-07,1.16527e-07,27,24,17,38863504,4.83453e-07,4.50424e-15,106.917
4.76,0.24,0.01,1.4881e-07,1.42381e-07,26,19,13,20040819,6.99473e-06,7.14831e-13,84.9108
4.02,3.15,0.11,1.4881e-07,1.35861e-07,26,24,16,34820271,9.13747e-07,1.58064e-14,101.464
3.29,4.8,0.84,1.4881e-07,1.42027e-07,26,24,19,47452144,1.11457e-07,3.16314e-16,118.452
