c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.6,2.58,0.74,3.57656,3.36375,14,13,8,7501117,3.57519,0.818716,31.938
1.5,0.03,1.72,3.57656,2.24688,14,6,10,9020686,13.8455,6.32401,23.0594
3.41,3,0.7,3.57656,3.28156,14,13,8,7501117,3.57519,0.818716,31.938
0.18,2.75,0.48,3.57656,2.6975,10,12,8,6944681,3.65206,0.835031,31.8523
1.66,2.44,1.01,3.57656,2.73375,13,12,9,8906184,1.73299,0.218621,37.6724
2.42,0.51,4.11,3.57656,2.64063,14,10,11,12726139,0.96706,0.041787,44.8589
0.99,2.9,2.65,3.57656,3.49875,12,12,10,10976932,0.904723,0.0636727,43.0298
0.81,2.72,4.54,3.57656,2.66062,13,13,11,13724647,0.441758,0.0161928,48.9761
2.6,4.96,5.16,3.57656,3.28125,14,13,11,13776247,0.438176,0.0160012,49.0278
1.27,4.94,4.58,3.57656,2.98687,13,13,11,13724647,0.441758,0.0161928,48.9761
4.57,2.39,4.21,3.57656,2.77391,15,12,11,13477811,0.508166,0.0171993,48.7142
1.81,3.96,3.59,3.57656,2.34656,14,13,11,13776247,0.438176,0.0160012,49.0278
1.59,3.76,0.84,3.57656,2.19969,14,13,9,9307820,1.68141,0.21714,37.7019
5.19,3.27,3.45,3.57656,2.1743,16,13,11,13879447,0.442082,0.0159589,49.0393
2.89,0.3,4.26,3.57656,2.82031,14,9,11,12376103,1.79732,0.120553,40.2575
2.7,2.41,4.26,3.57656,2.81688,14,12,11,13426211,0.508166,0.0172233,48.7082
4.76,0.99,1,3.57656,2.56938,15,11,9,8659348,1.78716,0.223344,37.5796
5.18,4.98,3.05,3.57656,3.44219,15,14,10,11831804,0.838394,0.0611806,43.2032
2.12,2.38,0.2,3.57656,2.3275,13,12,7,5611005,7.03949,2.51986,27.0555
1.54,1.12,3.2,3.57656,3.52813,14,12,10,11080132,0.906676,0.0628005,43.0897
5.22,2.46,4.02,3.57656,2.39906,15,13,11,13827847,0.438176,0.0159773,49.0343
5.27,2.71,4.37,3.57656,2.60609,15,13,11,13827847,0.438176,0.0159773,49.0343
3.71,5.52,1.4,3.57656,3.54797,15,13,9,9359420,1.68163,0.217163,37.7015
1.92,3.19,2.62,3.57656,3.5375,13,12,10,11028532,0.889098,0.0628965,43.0831
1.06,2.22,1.48,3.57656,3.30375,13,13,9,9256220,1.6992,0.217424,37.6962
4.15,4.1,2.84,3.57656,3.48219,14,13,10,11430168,0.876225,0.0615509,43.177
2.35,0.66,3.75,3.57656,2.27844,14,11,11,13076175,0.642994,0.0221537,47.6149
2.52,3.64,5.3,3.57656,3.18375,14,13,11,13776247,0.438176,0.0160012,49.0278
2.36,5.54,0.76,3.57656,3.46,14,14,8,7851153,3.56575,0.818438,31.9395
0.43,2.59,2.36,3.57656,3.115,11,12,10,10925332,0.983181,0.0659757,42.8755
1.7,0.08,0.79,3.57656,3.53313,14,8,8,5750937,4.98522,1.23605,30.149
1.74,2.16,2.27,3.57656,2.91875,13,12,10,11028532,0.889098,0.0628965,43.0831
3.76,1.36,3.21,3.57656,2.00375,15,12,11,13477811,0.508166,0.0171993,48.7142
4.17,3.38,2.62,3.57656,3.53016,15,12,10,11131732,0.898864,0.0627286,43.0947
5.21,4.88,2.13,3.57656,2.82141,15,13,10,11481768,0.876225,0.0614791,43.182
3.05,0.54,3.28,3.57656,1.95766,15,11,11,13127775,0.628872,0.0221298,47.6195
4.58,2.31,2.06,3.57656,2.70906,15,12,10,11131732,0.898864,0.0627286,43.0947
1.26,0.02,1.31,3.57656,3.33875,13,5,9,6604861,26.6655,17.1159,18.7353
0.89,2.98,2.87,3.57656,3.29812,13,13,10,11378568,0.876225,0.061647,43.1702
5.4,2.71,1.7,3.57656,2.08094,16,13,10,11533368,0.872318,0.0614848,43.1816
0.62,2.05,1.77,3.57656,2.36,12,12,10,10976932,0.904723,0.0636727,43.0298
2.4,1.83,3.28,3.57656,2.135,15,12,11,13477811,0.508166,0.0171993,48.7142
2.21,2.52,4.76,3.57656,3.07906,14,12,11,13426211,0.508166,0.0172233,48.7082
4.82,2.62,3.09,3.57656,3.49281,15,13,10,11481768,0.876225,0.0614791,43.182
1.5,3.81,2.55,3.57656,3.12,13,13,10,11378568,0.876225,0.061647,43.1702
1.84,2.76,3.61,3.57656,2.2075,14,13,11,13776247,0.438176,0.0160012,49.0278
0.66,0.61,3.72,3.57656,2.20625,13,11,11,13024575,0.642994,0.0223455,47.5774
2.63,2.57,3.2,3.57656,3.56234,15,13,10,11481768,0.876225,0.0614791,43.182
3.76,5.4,4.98,3.57656,3.22375,15,13,11,13827847,0.438176,0.0159773,49.0343
1.52,1.9,0.6,3.57656,3.445,13,11,8,6749445,3.63796,0.824729,31.9062
3.01,2.23,1.43,3.57656,3.51156,14,12,9,8957784,1.74443,0.218338,37.678
0.77,0.57,3.78,3.57656,2.22312,13,11,11,13024575,0.642994,0.0223455,47.5774
3.17,0.9,1.03,3.57656,2.60906,14,11,9,8607748,1.80279,0.223321,37.58
3.51,3.19,4.82,3.57656,2.86359,15,13,11,13827847,0.438176,0.0159773,49.0343
3.05,0.76,2.9,3.57656,3.37531,14,11,10,10730096,0.964692,0.0676774,42.7649
4.84,2.16,2.67,3.57656,3.28563,15,12,10,11131732,0.898864,0.0627286,43.0947
1.97,2.4,0.52,3.57656,2.80312,13,12,8,7099481,3.65206,0.819936,31.9315
1.54,1.84,2.06,3.57656,2.61625,13,12,10,11028532,0.889098,0.0628965,43.0831
5.13,5.35,2.08,3.57656,2.82891,15,13,10,11481768,0.876225,0.0614791,43.182
2.68,1.49,0.83,3.57656,2.11625,14,12,9,8957784,1.74443,0.218338,37.678
5.07,0.45,3.22,3.57656,2.09961,16,10,11,12829339,0.959309,0.0417448,44.8633
1.3,1.8,4.22,3.57656,2.64125,13,12,11,13374611,0.500771,0.0174148,48.6601
0.19,2.73,5.53,3.57656,3.5425,10,12,11,13219811,0.724072,0.0309234,46.1665
0.51,2.27,2.84,3.57656,3.535,11,12,10,10925332,0.983181,0.0659757,42.8755
1.72,3.6,3.39,3.57656,2.19875,14,13,11,13776247,0.438176,0.0160012,49.0278
2.86,5.03,5.19,3.57656,3.31313,14,13,11,13776247,0.438176,0.0160012,49.0278
3.19,3.27,0.14,3.57656,3.25688,13,12,6,4453278,15.3462,8.96233,21.5451
1.15,0.9,2.98,3.57656,3.50188,13,11,10,10678496,0.967793,0.0677737,42.7587
0.46,0.31,5.53,3.57656,3.5,11,9,11,12221303,1.71127,0.124017,40.1345
3.06,5.51,0.55,3.57656,2.98438,14,13,8,7501117,3.57519,0.818716,31.938
3.07,3.28,1.68,3.57656,2.13797,15,13,10,11481768,0.876225,0.0614791,43.182
3.27,5.06,2.94,3.57656,3.30734,15,14,10,11831804,0.838394,0.0611806,43.2032
3,0.36,2.36,3.57656,3.17375,14,9,10,10030024,2.10012,0.165958,38.8693
5.25,2.67,1.09,3.57656,2.92953,15,12,9,9009384,1.73954,0.21836,37.6776
1.19,5,2.53,3.57656,3.22937,13,13,10,11378568,0.876225,0.061647,43.1702
5.08,3.34,2.71,3.57656,3.20688,15,13,10,11481768,0.876225,0.0614791,43.182
3.49,5.18,1.46,3.57656,3.29828,15,14,9,9709456,1.68247,0.216837,37.708
3.2,4.45,3.25,3.57656,1.95312,15,14,11,14177883,0.446159,0.0156654,49.1199
0.7,3.23,4.83,3.57656,2.90625,12,13,11,13673047,0.485051,0.0167761,48.8224
0.81,0.9,0.23,3.57656,2.84125,12,10,7,4859333,7.13539,2.54398,27.0142
3.9,3.54,5.41,3.57656,3.20844,15,13,11,13827847,0.438176,0.0159773,49.0343
3.6,1.48,4.79,3.57656,2.82125,15,12,11,13477811,0.508166,0.0171993,48.7142
5,0.27,5.51,3.57656,3.37313,15,9,11,12427703,1.79732,0.120529,40.2584
4.37,4.26,1.78,3.57656,2.38078,15,13,10,11481768,0.876225,0.0614791,43.182
3.86,0.47,3.19,3.57656,2.12531,15,10,11,12777739,0.959248,0.0417631,44.8614
0.79,2.7,2.91,3.57656,3.34625,12,13,10,11326968,0.8664,0.0624232,43.1159
2.22,5.3,4.49,3.57656,2.97687,14,13,11,13776247,0.438176,0.0160012,49.0278
2.8,3.5,2.57,3.57656,3.095,14,13,10,11430168,0.876225,0.0615509,43.177
5.15,3.88,1.64,3.57656,2.16523,16,13,10,11533368,0.872318,0.0614848,43.1816
0.77,0.77,4.9,3.57656,2.93125,12,11,11,12972975,0.695278,0.0229285,47.4656
5.26,0.38,1.83,3.57656,2.29219,15,10,10,10431660,1.24865,0.0873457,41.6569
1.18,0.65,2.1,3.57656,2.82375,13,10,10,10328460,1.27209,0.0875139,41.6486
2.57,1.08,4.35,3.57656,2.79531,14,11,11,13076175,0.642994,0.0221537,47.6149
2.02,0.96,3.77,3.57656,2.42812,14,11,11,13076175,0.642994,0.0221537,47.6149
4.98,4.65,3.7,3.57656,2.21844,15,14,11,14177883,0.446159,0.0156654,49.1199
2.08,2.24,0.44,3.57656,2.385,14,12,8,7151081,3.65206,0.820006,31.9312
4.33,4.49,3.85,3.57656,2.55391,15,13,11,13827847,0.438176,0.0159773,49.0343
