c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
3.99,4.82,1.97,1.601e-06,1.28612e-06,20,18,14,25844955,4.55268e-07,4.13936e-15,87.9158
4.27,1.58,3.2,1.601e-06,9.83104e-07,21,17,15,29242365,2.60403e-07,1.28679e-15,92.99
5.07,0.96,2.35,1.601e-06,1.425e-06,20,16,14,24037408,5.09265e-07,4.76866e-15,87.3012
1.33,2.37,2.76,1.601e-06,9.80198e-07,19,17,15,28949905,2.60403e-07,1.30995e-15,92.9126
1.23,5.34,4.93,1.601e-06,1.56701e-06,18,18,15,29723129,2.69169e-07,1.24345e-15,93.1388
0.12,0.2,1.18,1.601e-06,1.56403e-06,15,13,13,17148115,2.12055e-06,6.03631e-14,76.2774
2.56,3.33,1.85,1.601e-06,1.31726e-06,20,17,14,24930087,4.88784e-07,4.26069e-15,87.7903
1.61,3.83,0.71,1.601e-06,9.53376e-07,19,18,13,21974156,8.56557e-07,1.57731e-14,82.1059
3.22,1.65,3.5,1.601e-06,1.07914e-06,20,17,15,29094864,2.60403e-07,1.28956e-15,92.9807
4.75,2.72,2.51,1.601e-06,1.59189e-06,20,17,14,24930087,4.88784e-07,4.26069e-15,87.7903
5.5,2.01,0.41,1.601e-06,1.30221e-06,21,16,12,17118049,1.86165e-06,5.61357e-14,76.5927
5.49,4.95,0.53,1.601e-06,1.38775e-06,20,18,12,18778095,1.87236e-06,5.55045e-14,76.6418
2.45,3.05,0.27,1.601e-06,1.46657e-06,19,17,11,14901859,3.78219e-06,2.07409e-13,70.9168
4.88,4.36,4.42,1.601e-06,1.3864e-06,20,18,15,30009732,2.54267e-07,1.1597e-15,93.4416
1.18,0.44,5.12,1.601e-06,1.50084e-06,18,15,15,27052465,5.03015e-07,3.79862e-15,88.2889
2.35,0.51,1.97,1.601e-06,1.25259e-06,19,15,14,23029332,6.82357e-07,6.69469e-15,85.8278
5.14,2.12,5.05,1.601e-06,1.53333e-06,20,17,15,29094864,2.60403e-07,1.28956e-15,92.9807
1,0.96,3.17,1.601e-06,1.01447e-06,19,16,15,28057226,3.20008e-07,1.79665e-15,91.5405
1,0.75,2.79,1.601e-06,1.53899e-06,19,16,14,23892449,5.18578e-07,4.7794e-15,87.2914
4.74,5.54,3.02,1.601e-06,9.20445e-07,21,19,15,31092763,2.40141e-07,1.12492e-15,93.5739
2.42,1.06,0.33,1.601e-06,1.5837e-06,19,16,11,14009180,3.69185e-06,2.07834e-13,70.9079
4.82,2.88,4.36,1.601e-06,1.45465e-06,20,17,15,29094864,2.60403e-07,1.28956e-15,92.9807
4.16,5.54,0.95,1.601e-06,1.29819e-06,20,18,13,22119115,8.56557e-07,1.57502e-14,82.1123
3.21,4.09,4.06,1.601e-06,1.2596e-06,20,18,15,30009732,2.54267e-07,1.1597e-15,93.4416
1.64,0.86,1.56,1.601e-06,9.97782e-07,19,16,14,23892449,5.18578e-07,4.7794e-15,87.2914
1.78,1.34,4.75,1.601e-06,1.50502e-06,19,16,15,28057226,3.20008e-07,1.79665e-15,91.5405
5.53,5.36,1.6,1.601e-06,1.12362e-06,21,18,14,25992456,4.57131e-07,4.13277e-15,87.9227
2.36,0.05,3.5,1.601e-06,1.06037e-06,20,12,15,25021108,3.20697e-06,1.4676e-13,72.419
4.54,0.43,0.77,1.601e-06,9.73195e-07,21,15,13,19595952,1.02104e-06,1.83339e-14,81.4526
1.61,3.2,5.51,1.601e-06,1.5524e-06,19,18,15,29864773,2.54267e-07,1.17803e-15,93.3736
3.8,3.38,0.14,1.601e-06,1.58429e-06,19,17,10,12559562,7.39062e-06,6.95073e-13,65.6648
3.47,4.7,0.67,1.601e-06,9.70811e-07,20,18,13,22119115,8.56557e-07,1.57502e-14,82.1123
0.69,0.83,2.09,1.601e-06,1.43349e-06,18,15,14,22887688,6.74907e-07,6.75922e-15,85.7862
4.76,0.24,0.01,1.601e-06,1.20997e-06,19,13,7,5153389,5.35056e-05,2.32953e-11,50.4124
4.69,4.5,2.05,1.601e-06,1.31562e-06,20,18,14,25844955,4.55268e-07,4.13936e-15,87.9158
0.33,2.85,0.83,1.601e-06,1.17064e-06,17,17,13,20778587,8.94334e-07,1.62607e-14,81.9737
4.07,0.49,4.75,1.601e-06,1.42679e-06,20,15,15,27339068,4.85954e-07,3.72081e-15,88.3787
4.4,4.55,5.02,1.601e-06,1.53363e-06,20,18,15,30009732,2.54267e-07,1.1597e-15,93.4416
0.58,4.46,4.85,1.601e-06,1.49131e-06,17,18,15,29584072,2.5637e-07,1.51338e-15,92.2856
4.8,2.68,2.38,1.601e-06,1.52588e-06,20,17,14,24930087,4.88784e-07,4.26069e-15,87.7903
4.12,2.43,2.61,1.601e-06,1.59562e-06,20,17,14,24930087,4.88784e-07,4.26069e-15,87.7903
2.3,3.38,2.09,1.601e-06,1.46806e-06,19,17,14,24785128,4.88784e-07,4.27552e-15,87.7752
4.82,0.57,3.42,1.601e-06,1.1231e-06,21,15,15,27486569,4.78503e-07,3.71998e-15,88.3797
4.21,0.15,4.46,1.601e-06,1.41218e-06,20,13,15,25733548,1.74421e-06,3.99003e-14,78.0754
1.95,2.95,2.14,1.601e-06,1.43021e-06,19,17,14,24785128,4.88784e-07,4.27552e-15,87.7752
3.3,0.14,4.03,1.601e-06,1.27703e-06,20,13,15,25733548,1.74421e-06,3.99003e-14,78.0754
1.27,5.38,4.66,1.601e-06,1.46955e-06,19,18,15,29864773,2.54267e-07,1.17803e-15,93.3736
2.4,0.47,4.69,1.601e-06,1.41382e-06,19,15,15,27194109,4.81258e-07,3.74515e-15,88.3504
1.81,3.96,3.59,1.601e-06,1.1459e-06,19,18,15,29864773,2.54267e-07,1.17803e-15,93.3736
2.01,2.64,0.15,1.601e-06,1.51902e-06,19,17,10,12559562,7.39062e-06,6.95073e-13,65.6648
5.33,4.9,4.45,1.601e-06,1.39274e-06,21,18,15,30157233,2.50542e-07,1.15588e-15,93.456
3.19,3.99,3.82,1.601e-06,1.19612e-06,20,18,15,30009732,2.54267e-07,1.1597e-15,93.4416
4.7,0.1,3.69,1.601e-06,1.10552e-06,21,13,15,25881049,1.74421e-06,3.99066e-14,78.0747
3.53,1.41,3.17,1.601e-06,9.76473e-07,20,17,15,29094864,2.60403e-07,1.28956e-15,92.9807
1.61,3.52,3.58,1.601e-06,1.11133e-06,19,18,15,29864773,2.54267e-07,1.17803e-15,93.3736
