dname,c0,c1,c2,abserr,estimated_error,l0,l1,l2,Total_retrieve_size,Compression_error
pres-98x1200x1200,0.242,0.202,0.28,9953.48,9879.55,6,3,2,79198,17360
qc-98x1200x1200,0.242,0.202,0.28,0.0003012,0.000264893,7,5,5,529855,0.000606627
qg-98x1200x1200,0.242,0.202,0.28,0.0014881,0.00105957,8,6,5,342243,0.00283853
qi-98x1200x1200,0.242,0.202,0.28,0.0001601,0.000147217,7,6,5,265401,0.000334721
cloudf48_log,0.242,0.202,0.28,1.0152,0.79225,10,7,6,3803943,2.31355
precipf48_log,0.242,0.202,0.28,3.58014,3.29,9,8,7,2002264,8.30154
qgraupf48_log,0.242,0.202,0.28,3.57656,3.169,10,8,7,4055851,8.60911
qicef48_log,0.242,0.202,0.28,1.86831,1.645,9,8,6,2524928,4.75283
baryon_density,0.242,0.202,0.28,11586.2,9879.55,3,5,5,3742,15166.8
dark_matter_density,0.242,0.202,0.28,1377.89,1234.94,4,5,4,6851,1976.54
temperature,0.242,0.202,0.28,478030,462946,7,5,4,12489,835160
velocity_x,0.242,0.202,0.28,8.23E+06,8.10E+06,4,4,4,66244,1.60E+07
pres-98x1200x1200,0.242,0.202,0.28,99.5348,88.48,15,11,8,28401467,237.719
qc-98x1200x1200,0.242,0.202,0.28,3.01E-06,2.64E-06,15,13,11,17843724,7.60E-06
qg-98x1200x1200,0.242,0.202,0.28,1.49E-05,1.26E-05,15,13,11,8314993,3.39E-05
qi-98x1200x1200,0.242,0.202,0.28,1.60E-06,1.57E-06,15,13,11,10989244,4.26E-06
cloudf48_log,0.242,0.202,0.28,0.010152,0.00618945,17,14,13,14750978,0.0199618
precipf48_log,0.242,0.202,0.28,0.0358014,0.0211289,18,16,14,19760654,0.0557466
qgraupf48_log,0.242,0.202,0.28,0.0357656,0.0211289,18,16,14,22707237,0.0552349
qicef48_log,0.242,0.202,0.28,0.0186831,0.0123789,17,15,13,10567563,0.0382714
baryon_density,0.242,0.202,0.28,115.862,113.024,10,12,11,93768,233.541
dark_matter_density,0.242,0.202,0.28,13.7789,13.16,12,12,10,1927138,31.4367
temperature,0.242,0.202,0.28,4780.3,4444.16,14,11,11,2693582,10360
velocity_x,0.242,0.202,0.28,82283.6,67141.6,14,10,10,12838551,165056
pres-98x1200x1200,0.242,0.202,0.28,0.995348,0.676125,23,18,15,133172492,2.04688
qc-98x1200x1200,0.242,0.202,0.28,3.01E-08,2.36E-08,22,19,18,62653138,7.16E-08
qg-98x1200x1200,0.242,0.202,0.28,1.49E-07,9.44E-08,23,20,18,37461386,2.54E-07
qi-98x1200x1200,0.242,0.202,0.28,1.60E-08,1.18E-08,23,20,18,46624330,3.36E-08
cloudf48_log,0.242,0.202,0.28,0.00010152,9.67E-05,23,20,19,24726535,0.00028038
precipf48_log,0.242,0.202,0.28,0.00035801,0.00033014,24,22,20,38510702,0.00088573
qgraupf48_log,0.242,0.202,0.28,0.00035766,0.00033014,24,22,20,41457285,0.00088215
qicef48_log,0.242,0.202,0.28,0.00018683,0.00016876,23,22,19,18616222,0.00053787
baryon_density,0.242,0.202,0.28,1.15862,1.085,17,18,18,3713838,2.4266
dark_matter_density,0.242,0.202,0.28,0.137789,0.0845156,21,20,17,65010126,0.232748
temperature,0.242,0.202,0.28,47.803,43.272,23,19,17,56814877,121.87
velocity_x,0.242,0.202,0.28,822.836,692.352,22,18,16,107091790,1901
