dname,drange,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.01,4.96,0.44,1.13,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.02,0.31,0.28,1.27,27646087,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.03,0.31,0.28,1.27,27646087,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.04,3.39,0.27,1.27,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.05,0.29,0.4,1.1,27646087,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.06,1.26,0.4,1.08,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.07,1.26,0.4,1.08,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.08,0.66,0.28,1.17,27695403,9.18E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.09,5.15,0.29,1.14,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.1,5.43,0.29,1.12,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.11,5.43,0.29,1.12,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.12,0.33,0.29,1.1,27646087,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.13,4.7,0.27,1.1,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.14,4.7,0.27,1.1,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.15,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.16,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.17,1.08,0.41,0.93,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.18,2.25,0.36,0.93,27798603,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.19,2.25,0.36,0.93,27798603,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.2,2.25,0.36,0.93,27798603,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.21,4.5,0.34,0.9,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.22,4.5,0.34,0.9,27850203,8.99E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.23,1.05,0.27,0.94,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.24,1.05,0.27,0.94,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.25,1.05,0.27,0.94,27747003,8.89E-05
cloudf48_log_1.01e-04.csv,10.15203,0.000101,0.26,5.16,0.35,0.84,27901803,8.99E-05
